Date,Price
2020-06-17,2204
2020-06-18,2183
2020-06-19,2182
2020-06-20,2170
2020-06-21,2169
2020-06-22,2157
2020-06-23,2277
2020-06-24,2257
2020-06-25,2199
2020-06-26,2168
2020-06-27,2144
2020-06-28,2063
2020-06-29,2102
2020-06-30,2129
2020-07-01,2103
2020-07-02,2146
2020-07-03,2112
2020-07-04,2098
2020-07-05,2135
2020-07-06,2125
2020-07-07,2231
2020-07-08,2213
2020-07-09,2265
2020-07-10,2234
2020-07-11,2215
2020-07-12,2200
2020-07-13,2219
2020-07-14,2201
2020-07-15,2184
2020-07-16,2164
2020-07-17,2124
2020-07-18,2107
2020-07-19,2134
2020-07-20,2157
2020-07-21,2117
2020-07-22,2175
2020-07-23,2341
2020-07-24,2433
2020-07-25,2469
2020-07-26,2695
2020-07-27,2744
2020-07-28,2796
2020-07-29,2778
2020-07-30,2772
2020-07-31,2906
2020-08-01,3037
2020-08-02,3406
2020-08-03,3254
2020-08-04,3381
2020-08-05,3395
2020-08-06,3466
2020-08-07,3428
2020-08-08,3319
2020-08-09,3424
2020-08-10,3409
2020-08-11,3461
2020-08-12,3323
2020-08-13,3366
2020-08-14,3714
2020-08-15,3813
2020-08-16,3760
2020-08-17,3761
2020-08-18,3735
2020-08-19,3644
2020-08-20,3535
2020-08-21,3623
2020-08-22,3408
2020-08-23,3488
2020-08-24,3434
2020-08-25,3588
2020-08-26,3358
2020-08-27,3362
2020-08-28,3332
2020-08-29,3413
2020-08-30,3450
2020-08-31,3693
2020-09-01,3768
2020-09-02,4127
2020-09-03,3832
2020-09-04,3356
2020-09-05,3392
2020-09-06,2924
2020-09-07,3085
2020-09-08,3086
2020-09-09,2985
2020-09-10,3070
2020-09-11,3222
2020-09-12,3277
2020-09-13,3398
2020-09-14,3211
2020-09-15,3300
2020-09-16,3208
2020-09-17,3215
2020-09-18,3411
2020-09-19,3351
2020-09-20,3371
2020-09-21,3253
2020-09-22,3020
2020-09-23,3065
2020-09-24,2894
2020-09-25,3173
2020-09-26,3209
2020-09-27,3236
2020-09-28,3259
2020-09-29,3200
2020-09-30,3223
2020-10-01,3219
2020-10-02,3151
2020-10-03,3090
2020-10-04,3090
2020-10-05,3144
2020-10-06,3144
2020-10-07,3052
2020-10-08,3031
2020-10-09,3100
2020-10-10,3209
2020-10-11,3255
2020-10-12,3295
2020-10-13,3407
2020-10-14,3366
2020-10-15,3345
2020-10-16,3346
2020-10-17,3243
2020-10-18,3266
2020-10-19,3344
2020-10-20,3353
2020-10-21,3220
2020-10-22,3421
2020-10-23,3622
2020-10-24,3577
2020-10-25,3604
2020-10-26,3559
2020-10-27,3439
2020-10-28,3527
2020-10-29,3441
2020-10-30,3448
2020-10-31,3387
2020-11-01,3414
2020-11-02,3520
2020-11-03,3420
2020-11-04,3409
2020-11-05,3529
2020-11-06,3621
2020-11-07,3929
2020-11-08,3763
2020-11-09,3928
2020-11-10,3836
2020-11-11,3875
2020-11-12,4001
2020-11-13,3997
2020-11-14,4137
2020-11-15,4022
2020-11-16,3894
2020-11-17,3976
2020-11-18,4156
2020-11-19,4123
2020-11-20,4057
2020-11-21,4387
2020-11-22,4732
2020-11-23,4827
2020-11-24,5249
2020-11-25,5146
2020-11-26,4829
2020-11-27,4421
2020-11-28,4396
2020-11-29,4565
2020-11-30,4885
2020-12-01,5249
2020-12-02,5003
2020-12-03,5070
2020-12-04,5212
2020-12-05,4830
2020-12-06,5039
2020-12-07,5095
2020-12-08,4975
2020-12-09,4693
2020-12-10,4875
2020-12-11,4731
2020-12-12,4619
2020-12-13,4808
2020-12-14,4976
2020-12-15,4920
2020-12-16,4937
2020-12-17,5312
2020-12-18,5334
2020-12-19,5403
2020-12-20,5443
2020-12-21,5298
2020-12-22,5037
2020-12-23,5289
2020-12-24,4874
2020-12-25,5056
2020-12-26,5189
2020-12-27,5274
2020-12-28,5695
2020-12-29,6066
2020-12-30,6039
2020-12-31,6172
2021-01-01,6077
2021-01-02,6038
2021-01-03,6431
2021-01-04,7926
2021-01-05,8449
2021-01-06,9023
2021-01-07,9862
2021-01-08,10065
2021-01-09,10087
2021-01-10,10577
2021-01-11,10470
2021-01-12,9079
2021-01-13,8619
2021-01-14,9444
2021-01-15,10116
2021-01-16,9856
2021-01-17,10363
2021-01-18,10331
2021-01-19,10545
2021-01-20,11532
2021-01-21,11556
2021-01-22,9292
2021-01-23,10262
2021-01-24,10217
2021-01-25,11555
2021-01-26,10965
2021-01-27,11251
2021-01-28,10488
2021-01-29,11089
2021-01-30,11539
2021-01-31,11473
2021-02-01,11037
2021-02-02,11524
2021-02-03,12720
2021-02-04,13950
2021-02-05,13428
2021-02-06,14442
2021-02-07,14099
2021-02-08,13471
2021-02-09,14691
2021-02-10,14731
2021-02-11,14469
2021-02-12,14831
2021-02-13,15287
2021-02-14,15035
2021-02-15,14988
2021-02-16,14708
2021-02-17,14791
2021-02-18,15363
2021-02-19,16108
2021-02-20,16307
2021-02-21,15972
2021-02-22,16051
2021-02-23,14792
2021-02-24,12949
2021-02-25,13472
2021-02-26,12196
2021-02-27,12243
2021-02-28,12489
2021-03-01,11927
2021-03-02,13232
2021-03-03,12555
2021-03-04,13318
2021-03-05,13148
2021-03-06,13130
2021-03-07,14178
2021-03-08,14721
2021-03-09,15764
2021-03-10,15889
2021-03-11,15285
2021-03-12,15434
2021-03-13,15011
2021-03-14,16340
2021-03-15,15835
2021-03-16,15252
2021-03-17,15374
2021-03-18,15453
2021-03-19,15161
2021-03-20,15419
2021-03-21,15425
2021-03-22,15322
2021-03-23,14364
2021-03-24,14408
2021-03-25,13624
2021-03-26,13726
2021-03-27,14692
2021-03-28,14808
2021-03-29,14604
2021-03-30,15794
2021-03-31,16071
2021-04-01,16730
2021-04-02,17177
2021-04-03,18616
2021-04-04,17592
2021-04-05,18124
2021-04-06,18255
2021-04-07,18219
2021-04-08,17163
2021-04-09,17770
2021-04-10,17668
2021-04-11,18298
2021-04-12,18360
2021-04-13,18367
2021-04-14,19610
2021-04-15,20565
2021-04-16,21237
2021-04-17,20453
2021-04-18,19783
2021-04-19,18967
2021-04-20,18202
2021-04-21,19613
2021-04-22,19949
2021-04-23,20460
2021-04-24,19825
2021-04-25,18555
2021-04-26,19361
2021-04-27,21231
2021-04-28,22163
2021-04-29,22917
2021-04-30,23076
2021-05-01,23516
2021-05-02,24914
2021-05-03,24995
2021-05-04,28967
2021-05-05,27519
2021-05-06,29899
2021-05-07,29445
2021-05-08,29023
2021-05-09,32506
2021-05-10,32655
2021-05-11,33184
2021-05-12,34798
2021-05-13,32909
2021-05-14,31528
2021-05-15,34095
2021-05-16,30520
2021-05-17,29978
2021-05-18,27390
2021-05-19,28149
2021-05-20,20926
2021-05-21,23068
2021-05-22,20152
2021-05-23,19213
2021-05-24,17640
2021-05-25,21953
2021-05-26,22260
2021-05-27,23979
2021-05-28,22709
2021-05-29,20217
2021-05-30,19065
2021-05-31,19899
2021-06-01,22435
2021-06-02,21777
2021-06-03,22475
2021-06-04,23807
2021-06-05,22292
2021-06-06,21715
2021-06-07,22445
2021-06-08,21321
2021-06-09,20914
2021-06-10,21664
2021-06-11,20516
2021-06-12,19624
2021-06-13,19819
2021-06-14,20947
2021-06-15,21533
2021-06-16,21318
2021-06-17,20020
2021-06-18,20358
2021-06-19,19212
2021-06-20,18736
2021-06-21,19384
2021-06-22,16219
2021-06-23,15903
2021-06-24,16719
2021-06-25,16872
