timestamp,price,total_volumes
2023-12-17,22883.580835817913,86840505681.04614
2023-12-18,22643.502307212366,91291212428.44247
2023-12-19,22662.412740766868,143841323116.81348
2023-12-20,22117.221758255633,155025066128.85846
2023-12-21,22369.84573842605,194917538474.85483
2023-12-22,22567.189595800108,196454813442.0291
2023-12-23,23304.464541970963,238186405033.15796
2023-12-24,23135.208237842027,97692395115.99194
2023-12-25,22654.216546434425,126379362345.45087
2023-12-26,22774.636830660646,113922762936.10059
2023-12-27,22302.23206936605,156502670028.46146
2023-12-28,23630.10219105085,250215943746.76025
2023-12-29,23411.330498972995,219016530055.2616
2023-12-30,23162.552604331882,182670521151.28973
2023-12-31,23110.35358991261,139973381354.94006
2024-01-01,23000.84287379672,67744747230.93453
2024-01-02,23657.195265438488,92344087936.62396
2024-01-03,24100.63446335517,210200792642.5197
2024-01-04,22742.024634829646,354338587833.7113
2024-01-05,23198.21622098924,187355849991.00464
2024-01-06,23245.35020963837,192143429243.87405
2024-01-07,22983.107113605307,88375999545.10875
2024-01-08,22793.678881725547,104060962548.44539
2024-01-09,23829.218817782825,268001511187.72437
2024-01-10,24005.472070073738,220797878943.65424
2024-01-11,26460.922795158025,449826173107.58795
2024-01-12,26845.382599493387,416326060750.2775
2024-01-13,25758.6268085346,470196720387.1484
2024-01-14,26283.31924175746,237933296904.43588
2024-01-15,25479.406989589326,172952670462.67963
2024-01-16,25986.72653903983,137904702636.5684
2024-01-17,27027.983915905814,192979901394.46783
2024-01-18,26409.279079120457,178285603465.92218
2024-01-19,25876.39640499522,158346831753.04828
2024-01-20,26053.604084791154,141428617494.42767
2024-01-21,25851.061705698437,52285792686.68862
2024-01-22,25686.07451384846,45355563595.73953
2024-01-23,24160.124402386667,158160884575.9537
2024-01-24,23498.12507664386,185346309170.2803
2024-01-25,23359.120844354482,110963574227.08084
2024-01-26,23177.86080341784,104072047222.236
2024-01-27,23699.092173583267,112151849536.21259
2024-01-28,23689.034581607066,51150132397.54167
2024-01-29,23632.15021390214,73237940834.9911
2024-01-30,24176.485858812237,90559405132.5448
2024-01-31,24402.671935170667,115833982166.96678
2024-02-01,23741.756067797363,123294701215.38907
2024-02-02,23895.013916626584,100471928897.16603
2024-02-03,24403.2498716473,81079796925.15195
2024-02-04,24268.754990616657,49552527204.93774
2024-02-05,24073.897198641822,59863155079.46735
2024-02-06,24378.826431632573,84713293809.74184
2024-02-07,24930.47991481973,110594138065.12572
2024-02-08,25398.843420099558,111402254509.44447
2024-02-09,25366.976374298105,115262541988.65485
2024-02-10,26192.069367178738,160750547407.6258
2024-02-11,26314.628719877066,66858551326.212616
2024-02-12,26177.23849838072,78354274637.24274
2024-02-13,27649.0541414723,156078046875.77927
2024-02-14,27959.45769303014,213876264219.375
2024-02-15,29248.453252421685,246312714430.3752
2024-02-16,29539.733192498796,267358068216.2211
2024-02-17,29364.57461332085,176982075163.0046
2024-02-18,29167.821711292698,192032377598.45285
2024-02-19,29972.91159712705,251068416455.23904
2024-02-20,30616.250817691704,171090532189.54236
2024-02-21,31246.81369785669,233254392239.4576
2024-02-22,30845.874253874335,217213486807.7767
2024-02-23,30694.1205527795,209989514234.6355
2024-02-24,30227.94822314001,152411149856.29865
2024-02-25,30868.720913899884,117652140775.09503
2024-02-26,32155.034945459993,162939657603.8191
2024-02-27,32627.81337762725,207317993554.18973
2024-02-28,33419.77288656135,244269193111.85162
2024-02-29,34942.52241556667,378961842065.4882
2024-03-01,34731.05335360789,323718323996.9846
2024-03-02,35552.07559962309,193635046959.11627
2024-03-03,35449.93005963667,139243223269.73373
2024-03-04,35961.25894510994,160067388805.95135
2024-03-05,37680.82062469529,314600692698.7624
2024-03-06,37186.349658424,505328822497.72815
2024-03-07,39333.76112956788,408533229268.3435
2024-03-08,39486.238478476254,257718164824.35318
2024-03-09,40226.19046214851,287979711410.89655
2024-03-10,40457.89422350539,124698834307.09448
2024-03-11,39713.71771785024,176600993641.2227
2024-03-12,41685.40366668737,327880621042.1219
2024-03-13,40722.763967782426,305174881898.2738
2024-03-14,40969.51901868559,250629704776.13965
2024-03-15,40122.29028000015,285861716440.5387
2024-03-16,38721.03079430272,398922433124.2367
2024-03-17,36399.262100079795,210414943169.31003
2024-03-18,37766.42624495674,230980437764.4676
2024-03-19,36773.55453792286,252969329403.4266
2024-03-20,33091.49979718551,387474638389.91864
2024-03-21,36456.300341404385,438583872140.5656
2024-03-22,36564.4298597248,257656991253.65814
2024-03-23,35115.98272959339,234005678960.91025
2024-03-24,35438.09194345456,143244758088.61093
2024-03-25,36477.47972094855,134616642810.90158
2024-03-26,37951.952871968184,210468856969.2526
